lat,type,rich
54.5,rich_lat,7
54.5,rich_geog,3
54.5,rich_2d,2
55.5,rich_lat,6
55.5,rich_geog,3
55.5,rich_2d,3
56.5,rich_lat,6
56.5,rich_geog,3
56.5,rich_2d,3
57.5,rich_lat,6
57.5,rich_geog,3
57.5,rich_2d,3
58.5,rich_lat,5
58.5,rich_geog,3
58.5,rich_2d,3
59.5,rich_lat,4
59.5,rich_geog,3
59.5,rich_2d,3
60.5,rich_lat,2
60.5,rich_geog,1
60.5,rich_2d,1
61.5,rich_lat,2
61.5,rich_geog,1
61.5,rich_2d,0
62.5,rich_lat,2
62.5,rich_geog,1
62.5,rich_2d,1
63.5,rich_lat,2
63.5,rich_geog,1
63.5,rich_2d,1
64.5,rich_lat,2
64.5,rich_geog,1
64.5,rich_2d,1
65.5,rich_lat,2
65.5,rich_geog,1
65.5,rich_2d,1
66.5,rich_lat,2
66.5,rich_geog,1
66.5,rich_2d,1
67.5,rich_lat,2
67.5,rich_geog,1
67.5,rich_2d,1
68.5,rich_lat,2
68.5,rich_geog,1
68.5,rich_2d,1
