long,type,rich
24.5,rich_2d,3
25.5,rich_long,6
25.5,rich_geog,3
25.5,rich_2d,3
26.5,rich_long,5
26.5,rich_geog,2
26.5,rich_2d,2
27.5,rich_long,4
27.5,rich_geog,2
27.5,rich_2d,1
28.5,rich_long,3
28.5,rich_geog,1
28.5,rich_2d,0
29.5,rich_long,3
29.5,rich_geog,1
29.5,rich_2d,1
30.5,rich_long,3
30.5,rich_geog,1
30.5,rich_2d,1
31.5,rich_long,3
31.5,rich_geog,1
31.5,rich_2d,1
32.5,rich_long,3
32.5,rich_geog,1
32.5,rich_2d,1
33.5,rich_long,3
33.5,rich_geog,1
33.5,rich_2d,1
34.5,rich_long,3
34.5,rich_geog,1
34.5,rich_2d,1
35.5,rich_long,3
35.5,rich_geog,1
35.5,rich_2d,1
36.5,rich_long,3
36.5,rich_geog,1
36.5,rich_2d,0
37.5,rich_long,3
37.5,rich_geog,1
37.5,rich_2d,0
38.5,rich_long,3
38.5,rich_geog,1
38.5,rich_2d,0
39.5,rich_long,2
39.5,rich_geog,1
39.5,rich_2d,0
