"","depth","richness1d","richness2d"
"476",3511,4,4
"477",3512,4,1
"478",3514,4,2
"479",3518,4,1
"480",3519,4,1
"481",3520,4,1
"482",3523,4,3
"483",3525,4,4
"484",3526,4,2
"485",3527,4,2
"486",3528,4,1
"487",3529,4,1
"488",3530,4,3
"489",3535,4,4
"490",3537,4,2
"491",3539,4,1
"492",3541,4,1
"493",3544,4,1
"494",3546,4,4
"495",3548,4,3
"496",3550,4,3
"497",3551,4,4
"498",3552,4,4
"499",3553,4,4
"500",3554,4,1
"501",3555,4,3
"502",3556,4,1
"503",3558,4,3
"504",3563,4,4
"505",3565,4,1
"506",3566,4,1
"507",3567,4,1
"508",3568,4,3
"509",3574,4,3
"510",3575,4,4
"511",3578,4,3
"512",3581,4,1
"513",3583,4,4
"514",3585,4,2
"515",3586,4,1
"516",3587,4,3
"517",3589,4,4
"518",3596,4,1
"519",3597,4,2
"520",3598,4,1
"521",3601,4,3
"522",3603,4,1
"523",3606,4,1
"524",3608,4,2
"525",3611,4,3
"526",3612,4,2
"527",3613,4,4
"528",3617,4,1
"529",3618,4,1
"530",3619,4,1
"531",3620,4,2
"532",3622,4,2
"533",3623,4,2
"534",3624,4,4
"535",3628,4,4
"536",3629,4,1
"537",3630,4,1
"538",3635,4,2
"539",3636,4,2
"540",3637,4,3
"541",3638,4,3
"542",3639,4,1
"543",3641,4,4
"544",3643,4,1
"545",3646,4,1
"546",3647,4,2
"547",3648,4,2
"548",3649,4,3
"549",3650,4,1
"550",3651,4,4
"551",3654,4,4
"552",3656,4,4
"553",3657,4,4
"554",3659,4,1
"555",3660,4,1
"556",3662,4,4
"557",3666,4,2
"558",3668,4,4
"559",3669,4,3
"560",3671,4,4
"561",3672,4,1
"562",3674,4,2
"563",3675,4,1
"564",3677,4,4
"565",3678,4,4
"566",3679,4,4
"567",3681,4,1
"568",3682,4,3
"569",3683,4,2
"570",3684,4,1
"571",3686,4,4
"572",3688,4,1
"573",3689,4,4
"574",3693,4,4
"575",3694,4,4
"576",3695,4,4
"577",3696,4,4
"578",3698,4,1
"579",3699,4,3
"580",3700,4,1
"581",3701,4,2
"582",3703,4,4
"583",3705,4,2
"584",3706,4,1
"585",3707,4,4
"586",3709,4,3
"587",3710,4,1
"588",3712,4,2
"589",3719,4,2
"590",3720,4,4
"591",3721,4,1
"592",3722,4,1
"593",3723,4,1
"594",3725,4,1
"595",3728,4,1
"596",3729,4,4
"597",3730,4,1
"598",3731,4,1
"599",3732,4,4
"600",3733,4,3
"601",3737,4,3
"602",3738,4,4
"603",3740,4,4
"604",3741,4,2
"605",3742,4,3
"606",3743,4,1
"607",3744,4,2
"608",3745,4,3
"609",3747,4,2
"610",3749,4,4
"611",3751,4,3
"612",3752,4,3
"613",3753,4,3
"614",3754,4,4
"615",3756,4,2
"616",3757,4,1
"617",3758,4,2
"618",3760,4,4
"619",3768,4,3
"620",3769,4,1
"621",3770,4,1
"622",3772,4,2
"623",3773,4,4
"624",3774,4,1
"625",3775,4,3
"626",3777,4,4
"627",3778,4,2
"628",3779,4,1
"629",3782,4,1
"630",3785,4,4
"631",3786,4,4
"632",3788,4,4
"633",3791,4,3
"634",3793,4,3
"635",3795,4,1
"636",3799,4,1
"637",3800,4,2
"638",3801,4,1
"639",3802,4,2
"640",3803,4,4
"641",3804,4,2
"642",3805,4,4
"643",3807,4,4
"644",3812,4,4
"645",3815,4,4
"646",3816,4,4
"647",3817,4,2
"648",3821,4,4
"649",3822,4,1
"650",3824,4,4
"651",3825,4,3
"652",3828,4,3
"653",3829,4,2
"654",3830,4,4
"655",3831,4,3
"656",3833,4,3
"657",3834,4,2
"658",3835,4,4
"659",3836,4,4
"660",3837,4,4
"661",3838,4,3
"662",3839,4,4
"663",3840,4,4
"664",3841,4,1
"665",3843,4,1
"666",3845,4,1
"667",3846,4,4
"668",3847,4,1
"669",3849,4,1
"670",3850,4,4
"671",3851,4,2
"672",3852,4,3
"673",3853,4,2
"674",3854,4,3
"675",3855,4,1
"676",3856,4,4
"677",3861,4,3
"678",3862,4,1
"679",3865,4,3
"680",3868,4,3
"681",3869,4,1
"682",3870,4,4
"683",3874,4,3
"684",3875,4,4
"685",3879,4,2
"686",3882,4,2
"687",3883,4,4
"688",3885,4,4
"689",3887,4,4
"690",3888,4,4
"691",3889,4,4
"692",3890,4,3
"693",3891,4,4
"694",3892,4,1
"695",3893,4,1
"696",3894,4,4
"697",3895,4,1
"698",3898,4,4
"699",3900,4,3
"700",3901,4,4
"701",3903,4,4
"702",3904,4,3
"703",3905,4,2
"704",3906,4,2
"705",3907,4,1
"706",3908,4,2
"707",3910,4,2
"708",3911,4,4
"709",3912,4,3
"710",3913,4,3
"711",3915,4,4
"712",3918,4,2
"713",3919,4,2
"714",3920,4,4
"715",3921,4,2
"716",3923,4,1
"717",3924,4,4
"718",3926,4,4
"719",3927,4,2
"720",3928,4,1
"721",3929,4,1
"722",3930,4,2
"723",3931,4,2
"724",3932,4,1
"725",3933,4,2
"726",3934,4,4
"727",3935,4,4
"728",3936,4,4
"729",3937,4,2
"730",3938,4,3
"731",3939,4,3
"732",3940,4,2
"733",3941,4,2
"734",3942,4,2
"735",3943,4,4
"736",3945,4,1
"737",3946,4,4
"738",3947,4,4
"739",3948,4,3
"740",3952,4,2
"741",3953,4,3
"742",3955,4,1
"743",3959,4,4
"744",3960,4,2
"745",3964,4,4
"746",3965,4,4
"747",3966,4,4
"748",3967,4,1
"749",3970,4,3
"750",3974,4,1
"751",3975,4,1
"752",3976,4,3
"753",3980,4,4
"754",3982,4,1
"755",3984,4,1
"756",3985,4,4
"757",3987,4,3
"758",3988,4,4
"759",3989,4,2
"760",3990,4,2
"761",3991,4,1
"762",3992,4,2
"763",3994,4,4
"764",3995,4,3
