depth,type,rich
187,richness1d,29
187,richness2d,0
188,richness1d,29
188,richness2d,0
189,richness1d,29
189,richness2d,0
190,richness1d,29
190,richness2d,0
191,richness1d,29
191,richness2d,0
192,richness1d,29
192,richness2d,0
193,richness1d,29
193,richness2d,0
194,richness1d,29
194,richness2d,6
195,richness1d,29
195,richness2d,0
196,richness1d,29
196,richness2d,0
197,richness1d,29
197,richness2d,2
198,richness1d,29
198,richness2d,1
199,richness1d,29
199,richness2d,0
200,richness1d,29
200,richness2d,3
201,richness1d,29
201,richness2d,0
202,richness1d,29
202,richness2d,24
203,richness1d,29
203,richness2d,18
206,richness1d,29
206,richness2d,1
207,richness1d,29
207,richness2d,2
208,richness1d,29
208,richness2d,0
209,richness1d,29
209,richness2d,0
210,richness1d,29
210,richness2d,0
211,richness1d,29
211,richness2d,18
212,richness1d,29
212,richness2d,1
214,richness1d,29
214,richness2d,2
215,richness1d,29
215,richness2d,1
216,richness1d,29
216,richness2d,1
217,richness1d,29
217,richness2d,0
218,richness1d,29
218,richness2d,0
219,richness1d,29
219,richness2d,0
221,richness1d,27
221,richness2d,1
223,richness1d,27
223,richness2d,1
224,richness1d,27
224,richness2d,0
225,richness1d,27
225,richness2d,0
228,richness1d,27
228,richness2d,7
229,richness1d,27
229,richness2d,0
230,richness1d,26
230,richness2d,13
231,richness1d,26
231,richness2d,1
232,richness1d,26
232,richness2d,2
235,richness1d,26
235,richness2d,0
236,richness1d,26
236,richness2d,0
238,richness1d,26
238,richness2d,0
240,richness1d,26
240,richness2d,4
241,richness1d,26
241,richness2d,1
242,richness1d,26
242,richness2d,0
243,richness1d,26
243,richness2d,4
245,richness1d,26
245,richness2d,0
246,richness1d,26
246,richness2d,2
247,richness1d,26
247,richness2d,0
249,richness1d,26
249,richness2d,0
250,richness1d,26
250,richness2d,2
251,richness1d,26
251,richness2d,0
253,richness1d,26
253,richness2d,1
254,richness1d,26
254,richness2d,0
255,richness1d,26
255,richness2d,0
256,richness1d,26
256,richness2d,14
257,richness1d,26
257,richness2d,7
258,richness1d,26
258,richness2d,1
259,richness1d,26
259,richness2d,0
260,richness1d,26
260,richness2d,0
261,richness1d,25
261,richness2d,8
262,richness1d,25
262,richness2d,0
263,richness1d,25
263,richness2d,5
264,richness1d,25
264,richness2d,0
266,richness1d,25
266,richness2d,3
267,richness1d,25
267,richness2d,0
268,richness1d,25
268,richness2d,0
269,richness1d,25
269,richness2d,0
270,richness1d,25
270,richness2d,3
272,richness1d,25
272,richness2d,0
273,richness1d,25
273,richness2d,8
274,richness1d,25
274,richness2d,0
275,richness1d,25
275,richness2d,6
277,richness1d,25
277,richness2d,2
278,richness1d,25
278,richness2d,1
279,richness1d,25
279,richness2d,1
280,richness1d,25
280,richness2d,1
281,richness1d,25
281,richness2d,5
283,richness1d,25
283,richness2d,0
284,richness1d,25
284,richness2d,3
285,richness1d,25
285,richness2d,0
286,richness1d,24
286,richness2d,0
287,richness1d,24
287,richness2d,0
288,richness1d,24
288,richness2d,7
289,richness1d,24
289,richness2d,0
290,richness1d,24
290,richness2d,0
291,richness1d,24
291,richness2d,0
293,richness1d,24
293,richness2d,0
294,richness1d,24
294,richness2d,0
295,richness1d,24
295,richness2d,0
297,richness1d,24
297,richness2d,0
298,richness1d,24
298,richness2d,0
299,richness1d,24
299,richness2d,0
300,richness1d,24
300,richness2d,1
302,richness1d,23
302,richness2d,0
303,richness1d,23
303,richness2d,21
304,richness1d,23
304,richness2d,0
306,richness1d,23
306,richness2d,0
307,richness1d,23
307,richness2d,5
309,richness1d,23
309,richness2d,2
310,richness1d,23
310,richness2d,0
311,richness1d,23
311,richness2d,0
312,richness1d,23
312,richness2d,2
313,richness1d,23
313,richness2d,7
314,richness1d,23
314,richness2d,0
315,richness1d,23
315,richness2d,3
316,richness1d,23
316,richness2d,1
317,richness1d,23
317,richness2d,0
319,richness1d,23
319,richness2d,0
321,richness1d,23
321,richness2d,0
322,richness1d,23
322,richness2d,3
323,richness1d,23
323,richness2d,0
324,richness1d,23
324,richness2d,2
325,richness1d,23
325,richness2d,0
327,richness1d,23
327,richness2d,1
328,richness1d,23
328,richness2d,0
329,richness1d,23
329,richness2d,1
330,richness1d,23
330,richness2d,3
331,richness1d,23
331,richness2d,0
332,richness1d,23
332,richness2d,1
333,richness1d,23
333,richness2d,0
334,richness1d,23
334,richness2d,0
335,richness1d,23
335,richness2d,0
336,richness1d,22
336,richness2d,1
337,richness1d,22
337,richness2d,0
339,richness1d,22
339,richness2d,0
340,richness1d,22
340,richness2d,0
341,richness1d,22
341,richness2d,1
344,richness1d,22
344,richness2d,0
345,richness1d,22
345,richness2d,0
346,richness1d,22
346,richness2d,0
348,richness1d,22
348,richness2d,1
349,richness1d,22
349,richness2d,0
350,richness1d,22
350,richness2d,0
351,richness1d,22
351,richness2d,0
352,richness1d,22
352,richness2d,1
353,richness1d,22
353,richness2d,0
354,richness1d,22
354,richness2d,0
355,richness1d,22
355,richness2d,0
