"","X1","lat","variable","value"
"262",121,48.5,"rich_geog",5
"263",122,49.5,"rich_geog",5
"264",123,50.5,"rich_geog",5
"265",124,51.5,"rich_geog",4
"266",125,52.5,"rich_geog",3
"267",126,53.5,"rich_geog",3
"268",127,54.5,"rich_geog",3
"269",128,55.5,"rich_geog",3
"270",129,56.5,"rich_geog",3
"271",130,57.5,"rich_geog",3
"272",131,58.5,"rich_geog",3
"273",132,59.5,"rich_geog",3
"274",133,60.5,"rich_geog",1
"275",134,61.5,"rich_geog",1
"276",135,62.5,"rich_geog",1
"277",136,63.5,"rich_geog",1
"278",137,64.5,"rich_geog",1
"279",138,65.5,"rich_geog",1
"280",139,66.5,"rich_geog",1
"281",140,67.5,"rich_geog",1
"282",141,68.5,"rich_geog",1
"283",1,-71.5,"rich_2d",0
"284",2,-70.5,"rich_2d",0
"285",3,-69.5,"rich_2d",0
"286",4,-68.5,"rich_2d",0
"287",5,-67.5,"rich_2d",1
"288",6,-66.5,"rich_2d",1
"289",7,-65.5,"rich_2d",1
"290",8,-64.5,"rich_2d",1
"291",9,-63.5,"rich_2d",1
"292",10,-62.5,"rich_2d",2
"293",11,-61.5,"rich_2d",2
"294",12,-60.5,"rich_2d",2
"295",13,-59.5,"rich_2d",2
"296",14,-58.5,"rich_2d",2
"297",15,-57.5,"rich_2d",2
"298",16,-56.5,"rich_2d",2
"299",17,-55.5,"rich_2d",2
"300",18,-54.5,"rich_2d",2
"301",19,-53.5,"rich_2d",3
"302",20,-52.5,"rich_2d",2
"303",21,-51.5,"rich_2d",3
"304",22,-50.5,"rich_2d",3
"305",23,-49.5,"rich_2d",3
"306",24,-48.5,"rich_2d",2
"307",25,-47.5,"rich_2d",2
"308",26,-46.5,"rich_2d",2
"309",27,-45.5,"rich_2d",2
"310",28,-44.5,"rich_2d",2
"311",29,-43.5,"rich_2d",2
"312",30,-42.5,"rich_2d",2
"313",31,-41.5,"rich_2d",2
"314",32,-40.5,"rich_2d",2
"315",33,-39.5,"rich_2d",2
"316",34,-38.5,"rich_2d",2
"317",35,-37.5,"rich_2d",2
"318",36,-36.5,"rich_2d",2
"319",37,-35.5,"rich_2d",2
"320",38,-34.5,"rich_2d",2
"321",39,-33.5,"rich_2d",3
"322",40,-32.5,"rich_2d",3
"323",41,-31.5,"rich_2d",3
"324",42,-30.5,"rich_2d",3
"325",43,-29.5,"rich_2d",3
"326",44,-28.5,"rich_2d",3
"327",45,-27.5,"rich_2d",3
"328",46,-26.5,"rich_2d",3
"329",47,-25.5,"rich_2d",3
"330",48,-24.5,"rich_2d",2
"331",49,-23.5,"rich_2d",2
"332",50,-22.5,"rich_2d",3
"333",51,-21.5,"rich_2d",2
"334",52,-20.5,"rich_2d",3
"335",53,-19.5,"rich_2d",4
"336",54,-18.5,"rich_2d",4
"337",55,-17.5,"rich_2d",4
"338",56,-16.5,"rich_2d",4
"339",57,-15.5,"rich_2d",3
"340",58,-14.5,"rich_2d",3
"341",59,-13.5,"rich_2d",3
"342",60,-12.5,"rich_2d",3
"343",61,-11.5,"rich_2d",2
"344",62,-10.5,"rich_2d",2
"345",63,-9.5,"rich_2d",2
"346",64,-8.5,"rich_2d",3
"347",65,-7.5,"rich_2d",4
"348",66,-6.5,"rich_2d",2
"349",67,-5.5,"rich_2d",2
"350",68,-4.5,"rich_2d",2
"351",69,-3.5,"rich_2d",3
"352",70,-2.5,"rich_2d",3
"353",71,-1.5,"rich_2d",3
"354",72,-0.5,"rich_2d",4
"355",73,0.5,"rich_2d",5
"356",74,1.5,"rich_2d",5
"357",75,2.5,"rich_2d",6
"358",76,3.5,"rich_2d",7
"359",77,4.5,"rich_2d",7
"360",78,5.5,"rich_2d",9
"361",79,6.5,"rich_2d",8
"362",80,7.5,"rich_2d",8
"363",81,8.5,"rich_2d",10
"364",82,9.5,"rich_2d",10
"365",83,10.5,"rich_2d",11
"366",84,11.5,"rich_2d",15
"367",85,12.5,"rich_2d",19
"368",86,13.5,"rich_2d",9
"369",87,14.5,"rich_2d",7
"370",88,15.5,"rich_2d",12
"371",89,16.5,"rich_2d",21
"372",90,17.5,"rich_2d",16
"373",91,18.5,"rich_2d",21
"374",92,19.5,"rich_2d",4
"375",93,20.5,"rich_2d",10
"376",94,21.5,"rich_2d",25
"377",95,22.5,"rich_2d",18
"378",96,23.5,"rich_2d",28
"379",97,24.5,"rich_2d",25
"380",98,25.5,"rich_2d",23
"381",99,26.5,"rich_2d",24
"382",100,27.5,"rich_2d",22
"383",101,28.5,"rich_2d",18
"384",102,29.5,"rich_2d",18
"385",103,30.5,"rich_2d",12
