"","X1","y","variable","value"
"251",117,41.5,"max_rich",4
"252",118,42.5,"max_rich",4
"253",119,43.5,"max_rich",4
"254",120,44.5,"max_rich",4
"255",121,45.5,"max_rich",4
"256",122,46.5,"max_rich",4
"257",123,47.5,"max_rich",4
"258",124,48.5,"max_rich",4
"259",125,49.5,"max_rich",5
"260",126,50.5,"max_rich",5
"261",127,51.5,"max_rich",5
"262",128,52.5,"max_rich",5
"263",129,53.5,"max_rich",5
"264",130,54.5,"max_rich",5
"265",131,55.5,"max_rich",4
"266",132,56.5,"max_rich",3
"267",133,57.5,"max_rich",2
"268",134,58.5,"max_rich",2
"269",1,-74.5,"richness_lat",1
"270",2,-73.5,"richness_lat",2
"271",3,-72.5,"richness_lat",2
"272",4,-71.5,"richness_lat",2
"273",5,-70.5,"richness_lat",2
"274",6,-69.5,"richness_lat",3
"275",7,-68.5,"richness_lat",3
"276",8,-67.5,"richness_lat",5
"277",9,-66.5,"richness_lat",6
"278",10,-65.5,"richness_lat",6
"279",11,-64.5,"richness_lat",6
"280",12,-63.5,"richness_lat",6
"281",13,-62.5,"richness_lat",6
"282",14,-61.5,"richness_lat",6
"283",15,-60.5,"richness_lat",7
"284",16,-59.5,"richness_lat",7
"285",17,-58.5,"richness_lat",7
"286",18,-57.5,"richness_lat",7
"287",19,-56.5,"richness_lat",7
"288",20,-55.5,"richness_lat",7
"289",21,-54.5,"richness_lat",7
"290",22,-53.5,"richness_lat",7
"291",23,-52.5,"richness_lat",9
"292",24,-51.5,"richness_lat",9
"293",25,-50.5,"richness_lat",10
"294",26,-49.5,"richness_lat",10
"295",27,-48.5,"richness_lat",11
"296",28,-47.5,"richness_lat",11
"297",29,-46.5,"richness_lat",11
"298",30,-45.5,"richness_lat",12
"299",31,-44.5,"richness_lat",12
"300",32,-43.5,"richness_lat",14
"301",33,-42.5,"richness_lat",14
"302",34,-41.5,"richness_lat",14
"303",35,-40.5,"richness_lat",14
"304",36,-39.5,"richness_lat",14
"305",37,-38.5,"richness_lat",15
"306",38,-37.5,"richness_lat",16
"307",39,-36.5,"richness_lat",21
"308",40,-35.5,"richness_lat",21
"309",41,-34.5,"richness_lat",21
"310",42,-33.5,"richness_lat",19
"311",43,-32.5,"richness_lat",21
"312",44,-31.5,"richness_lat",22
"313",45,-30.5,"richness_lat",23
"314",46,-29.5,"richness_lat",23
"315",47,-28.5,"richness_lat",23
"316",48,-27.5,"richness_lat",22
"317",49,-26.5,"richness_lat",22
"318",50,-25.5,"richness_lat",23
"319",51,-24.5,"richness_lat",22
"320",52,-23.5,"richness_lat",22
"321",53,-22.5,"richness_lat",22
"322",54,-21.5,"richness_lat",22
"323",55,-20.5,"richness_lat",22
"324",56,-19.5,"richness_lat",22
"325",57,-18.5,"richness_lat",25
"326",58,-17.5,"richness_lat",26
"327",59,-16.5,"richness_lat",25
"328",60,-15.5,"richness_lat",25
"329",61,-14.5,"richness_lat",25
"330",62,-13.5,"richness_lat",25
"331",63,-12.5,"richness_lat",25
"332",64,-11.5,"richness_lat",25
"333",65,-10.5,"richness_lat",25
"334",66,-9.5,"richness_lat",27
"335",67,-8.5,"richness_lat",26
"336",68,-7.5,"richness_lat",27
"337",69,-6.5,"richness_lat",28
"338",70,-5.5,"richness_lat",28
"339",71,-4.5,"richness_lat",28
"340",72,-3.5,"richness_lat",28
"341",73,-2.5,"richness_lat",29
"342",74,-1.5,"richness_lat",29
