depth,type,rich
2173,richness1d,8
2173,richness2d,4
2181,richness1d,8
2181,richness2d,6
2188,richness1d,8
2188,richness2d,1
2202,richness1d,8
2202,richness2d,1
2233,richness1d,8
2233,richness2d,1
2248,richness1d,8
2248,richness2d,6
2270,richness1d,8
2270,richness2d,5
2276,richness1d,8
2276,richness2d,5
2291,richness1d,8
2291,richness2d,1
2308,richness1d,8
2308,richness2d,2
2327,richness1d,7
2327,richness2d,4
2330,richness1d,7
2330,richness2d,1
2359,richness1d,6
2359,richness2d,1
2362,richness1d,6
2362,richness2d,3
2363,richness1d,6
2363,richness2d,5
2366,richness1d,6
2366,richness2d,5
2374,richness1d,6
2374,richness2d,2
2379,richness1d,6
2379,richness2d,2
2391,richness1d,6
2391,richness2d,1
2392,richness1d,6
2392,richness2d,3
2393,richness1d,6
2393,richness2d,4
2397,richness1d,6
2397,richness2d,1
2400,richness1d,6
2400,richness2d,1
2406,richness1d,6
2406,richness2d,1
2411,richness1d,6
2411,richness2d,1
2433,richness1d,6
2433,richness2d,1
2445,richness1d,6
2445,richness2d,3
2478,richness1d,6
2478,richness2d,3
2480,richness1d,6
2480,richness2d,1
2488,richness1d,6
2488,richness2d,5
2493,richness1d,6
2493,richness2d,2
2494,richness1d,6
2494,richness2d,3
2498,richness1d,6
2498,richness2d,1
2504,richness1d,6
2504,richness2d,1
2511,richness1d,6
2511,richness2d,2
2526,richness1d,6
2526,richness2d,3
2545,richness1d,6
2545,richness2d,3
2552,richness1d,6
2552,richness2d,1
2557,richness1d,6
2557,richness2d,1
2575,richness1d,6
2575,richness2d,3
2585,richness1d,6
2585,richness2d,4
2607,richness1d,6
2607,richness2d,3
2616,richness1d,6
2616,richness2d,3
2620,richness1d,6
2620,richness2d,4
2623,richness1d,6
2623,richness2d,5
2625,richness1d,6
2625,richness2d,4
2627,richness1d,6
2627,richness2d,5
2633,richness1d,6
2633,richness2d,1
2640,richness1d,6
2640,richness2d,1
2651,richness1d,6
2651,richness2d,3
2654,richness1d,6
2654,richness2d,4
2663,richness1d,6
2663,richness2d,1
2669,richness1d,6
2669,richness2d,4
2672,richness1d,6
2672,richness2d,5
2677,richness1d,6
2677,richness2d,4
2679,richness1d,6
2679,richness2d,5
2681,richness1d,6
2681,richness2d,1
2694,richness1d,6
2694,richness2d,1
2697,richness1d,6
2697,richness2d,1
2698,richness1d,6
2698,richness2d,5
2705,richness1d,6
2705,richness2d,4
2710,richness1d,6
2710,richness2d,1
2715,richness1d,6
2715,richness2d,4
2725,richness1d,6
2725,richness2d,4
2726,richness1d,6
2726,richness2d,3
2735,richness1d,6
2735,richness2d,4
2739,richness1d,6
2739,richness2d,4
2741,richness1d,6
2741,richness2d,3
2745,richness1d,6
2745,richness2d,1
2746,richness1d,6
2746,richness2d,4
2749,richness1d,6
2749,richness2d,2
2750,richness1d,6
2750,richness2d,5
2755,richness1d,6
