target_fid,rich_2d,x,y,depth
709,1,84.5,-63.5,3567
710,1,85.5,-63.5,3697
711,1,86.5,-63.5,3766.25
712,1,87.5,-63.5,3763
713,1,88.5,-63.5,3710.25
714,1,89.5,-63.5,3826.75
715,1,90.5,-63.5,3790.25
716,1,91.5,-63.5,3681
717,1,92.5,-63.5,3673.25
718,1,93.5,-63.5,3152.5
719,1,94.5,-63.5,2979.75
720,1,95.5,-63.5,3077.75
721,1,96.5,-63.5,2400
722,1,97.5,-63.5,2327.25
723,1,98.5,-63.5,1636.5
724,1,99.5,-63.5,1688.999878
725,1,100.5,-63.5,1400.250122
726,1,101.5,-63.5,1045.249878
727,1,102.5,-63.5,1497.499878
728,1,103.5,-63.5,3106
729,1,104.5,-63.5,3643.75
730,1,105.5,-63.5,3777
731,1,106.5,-63.5,3243.25
732,1,107.5,-63.5,3103
733,1,108.5,-63.5,3669
734,1,109.5,-63.5,3802.75
735,1,110.5,-63.5,3696.25
736,1,111.5,-63.5,3470.25
737,1,112.5,-63.5,3285
738,1,113.5,-63.5,3258
739,1,114.5,-63.5,2678.5
740,1,115.5,-63.5,2691.75
741,1,116.5,-63.5,2821
742,1,117.5,-63.5,3180.5
743,1,118.5,-63.5,3505
744,1,119.5,-63.5,3578.5
745,1,120.5,-63.5,3658.5
746,1,121.5,-63.5,3747.5
747,1,122.5,-63.5,3834
748,1,123.5,-63.5,3854.75
749,1,124.5,-63.5,3804
750,1,125.5,-63.5,3771.5
751,1,126.5,-63.5,3719.5
752,1,127.5,-63.5,3913
753,1,128.5,-63.5,4003.25
776,1,22.5,-62.5,5010.5
777,1,23.5,-62.5,5041.5
778,1,24.5,-62.5,5139
779,1,25.5,-62.5,5103
780,1,26.5,-62.5,5142.25
781,1,27.5,-62.5,5164
782,1,28.5,-62.5,5182.5
783,1,29.5,-62.5,5200
784,1,30.5,-62.5,5149.25
785,1,31.5,-62.5,5113.25
786,1,32.5,-62.5,5131.5
787,1,33.5,-62.5,5184.25
788,1,34.5,-62.5,5162.5
789,1,35.5,-62.5,5174
790,1,36.5,-62.5,5136.75
791,1,37.5,-62.5,5134
792,1,38.5,-62.5,5137
793,1,39.5,-62.5,5111.25
794,1,40.5,-62.5,5072
795,1,41.5,-62.5,5080
796,1,42.5,-62.5,5052
797,1,43.5,-62.5,4987.25
798,1,44.5,-62.5,4902.75
799,1,45.5,-62.5,4730.5
800,1,46.5,-62.5,4961.25
801,1,47.5,-62.5,4814
802,1,48.5,-62.5,5029.5
803,1,49.5,-62.5,5060
804,1,50.5,-62.5,5062
805,1,51.5,-62.5,5118.5
806,1,52.5,-62.5,5064.25
807,1,53.5,-62.5,5078.75
808,1,54.5,-62.5,5054.75
809,1,55.5,-62.5,4884.75
810,1,56.5,-62.5,4835
811,1,57.5,-62.5,4744
812,1,58.5,-62.5,4696
813,1,59.5,-62.5,4612.25
814,1,60.5,-62.5,4632.25
815,1,61.5,-62.5,4603.25
816,1,62.5,-62.5,4523.25
817,1,63.5,-62.5,4328.5
818,1,64.5,-62.5,4341
819,1,65.5,-62.5,4356
820,1,66.5,-62.5,4356.5
821,1,67.5,-62.5,4342
822,1,68.5,-62.5,4242
823,1,69.5,-62.5,4123.75
824,1,70.5,-62.5,4052
825,1,71.5,-62.5,4014.25
826,1,72.5,-62.5,3961.75
827,1,73.5,-62.5,3943
828,1,74.5,-62.5,3902
829,1,75.5,-62.5,3894
830,1,76.5,-62.5,3909.25
831,1,77.5,-62.5,3896.5
832,1,78.5,-62.5,3791.25
833,1,79.5,-62.5,3031.75
834,1,80.5,-62.5,2477.75
835,1,81.5,-62.5,1846.75
836,1,82.5,-62.5,2281.25
837,1,83.5,-62.5,2495.5
838,1,84.5,-62.5,2943.25
839,1,85.5,-62.5,3350.25
840,1,86.5,-62.5,3720.75
841,1,87.5,-62.5,3762.5
842,1,88.5,-62.5,3549.499756
843,1,89.5,-62.5,3900.75
844,1,90.5,-62.5,3874
845,1,91.5,-62.5,3825.25
846,1,92.5,-62.5,3873.25
847,1,93.5,-62.5,3765.5
848,1,94.5,-62.5,3544
849,1,95.5,-62.5,3727.75
850,1,96.5,-62.5,3716.5
851,1,97.5,-62.5,3934.25
852,1,98.5,-62.5,4002.25
853,1,99.5,-62.5,4108.75
854,1,100.5,-62.5,4306.25
855,1,101.5,-62.5,4290
856,1,102.5,-62.5,4138.5
857,1,103.5,-62.5,4162
858,1,104.5,-62.5,4123
859,1,105.5,-62.5,4170.75
860,1,106.5,-62.5,4077.75
861,1,107.5,-62.5,4011.75
862,1,108.5,-62.5,3858.5
863,1,109.5,-62.5,3781
864,1,110.5,-62.5,3932.5
865,1,111.5,-62.5,4007.25
866,1,112.5,-62.5,3944.5
867,1,113.5,-62.5,4012.75
868,1,114.5,-62.5,3992.75
869,1,115.5,-62.5,3961.25
870,1,116.5,-62.5,3928
871,1,117.5,-62.5,3981.75
872,1,118.5,-62.5,4023
873,1,119.5,-62.5,4066.5
874,1,120.5,-62.5,3961
875,1,121.5,-62.5,4014
876,1,122.5,-62.5,4124
877,1,123.5,-62.5,4139
878,1,124.5,-62.5,4188.75
879,1,125.5,-62.5,4232
880,1,126.5,-62.5,4198
881,1,127.5,-62.5,4264
882,1,128.5,-62.5,4312
883,1,129.5,-62.5,4356.75
905,1,22.5,-61.5,5103
906,1,23.5,-61.5,5015
907,1,24.5,-61.5,5179.25
908,1,25.5,-61.5,5205.5
909,1,26.5,-61.5,5198
910,1,27.5,-61.5,5237.75
911,1,28.5,-61.5,5231
912,1,29.5,-61.5,5238.25
913,1,30.5,-61.5,5226
914,1,31.5,-61.5,5192
915,1,32.5,-61.5,5198
916,1,33.5,-61.5,5225.25
917,1,34.5,-61.5,5253.25
918,1,35.5,-61.5,5266.25
919,1,36.5,-61.5,5286.75
920,1,37.5,-61.5,5286.25
921,1,38.5,-61.5,5282
922,1,39.5,-61.5,5236.75
923,1,40.5,-61.5,5255
924,1,41.5,-61.5,5249.75
925,1,42.5,-61.5,5292
926,1,43.5,-61.5,5274
927,1,44.5,-61.5,5250.75
928,1,45.5,-61.5,5250.25
929,1,46.5,-61.5,5272.25
930,1,47.5,-61.5,5273.25
931,1,48.5,-61.5,5327.5
932,1,49.5,-61.5,5296.5
933,1,50.5,-61.5,5231.25
934,1,51.5,-61.5,5307
935,1,52.5,-61.5,5250.75
936,1,53.5,-61.5,5203.75
937,1,54.5,-61.5,5119.75
938,1,55.5,-61.5,5048.75
939,1,56.5,-61.5,4959.5
940,1,57.5,-61.5,4988.75
941,1,58.5,-61.5,4755.75
942,1,59.5,-61.5,4827.75
943,1,60.5,-61.5,4790.25
944,1,61.5,-61.5,4628.5
945,1,62.5,-61.5,4545.5
946,1,63.5,-61.5,4585.75
947,1,64.5,-61.5,4520.5
948,1,65.5,-61.5,4514.25
949,1,66.5,-61.5,4482
950,1,67.5,-61.5,4403
951,1,68.5,-61.5,4318.75
952,1,69.5,-61.5,4225.75
953,1,70.5,-61.5,4192.5
954,1,71.5,-61.5,4283.25
955,1,72.5,-61.5,4114.75
956,1,73.5,-61.5,3985
957,1,74.5,-61.5,3992
958,1,75.5,-61.5,3797.5
959,1,76.5,-61.5,3783
960,1,77.5,-61.5,3705.75
961,1,78.5,-61.5,3165.75
962,1,79.5,-61.5,2813
963,1,80.5,-61.5,2449.75
964,1,81.5,-61.5,2191
965,1,82.5,-61.5,2121.5
966,1,83.5,-61.5,2494.75
967,1,84.5,-61.5,3057.75
968,1,85.5,-61.5,3408.75
969,1,86.5,-61.5,3521
970,1,87.5,-61.5,3771.25
971,1,88.5,-61.5,3986.75
972,1,89.5,-61.5,4051.25
973,1,90.5,-61.5,4145.5
974,1,91.5,-61.5,4154.5
