rich_geog,x_exact,y_exact,depth_geog
NA,147.5,-67.5,130.75
NA,148.5,-67.5,349.4999695
NA,20.5,-66.5,4539.75
1,21.5,-66.5,4333.75
1,22.5,-66.5,4584
1,23.5,-66.5,4593
1,24.5,-66.5,4576
1,25.5,-66.5,4505
1,26.5,-66.5,4452
1,27.5,-66.5,4632.25
1,28.5,-66.5,4409
1,29.5,-66.5,4366.75
1,30.5,-66.5,4278
1,31.5,-66.5,4191.25
1,32.5,-66.5,3570.25
1,33.5,-66.5,1259.25
1,34.5,-66.5,3558.25
1,35.5,-66.5,4121.5
1,36.5,-66.5,4272.25
1,37.5,-66.5,4686
1,38.5,-66.5,4341.25
1,39.5,-66.5,4385
1,40.5,-66.5,4497.25
1,41.5,-66.5,4115
1,42.5,-66.5,3549.5
1,43.5,-66.5,2929.750244
1,44.5,-66.5,2618.25
1,45.5,-66.5,2486.75
1,46.5,-66.5,2082
1,47.5,-66.5,775.25
1,48.5,-66.5,469.999939
1,49.5,-66.5,480.5000305
1,50.5,-66.5,212
1,51.5,-66.5,0
1,52.5,-66.5,0
1,53.5,-66.5,0
1,54.5,-66.5,0
1,55.5,-66.5,0
1,56.5,-66.5,124.0000381
1,57.5,-66.5,55.74998474
1,58.5,-66.5,370.2499695
1,59.5,-66.5,2088.75
1,60.5,-66.5,2062.5
1,61.5,-66.5,1721.25
1,62.5,-66.5,2160.249756
1,63.5,-66.5,2518.5
1,64.5,-66.5,2882.25
1,65.5,-66.5,2353.5
1,66.5,-66.5,2240.75
1,67.5,-66.5,2529.75
1,68.5,-66.5,1963
NA,69.5,-66.5,1586.25
NA,70.5,-66.5,1987.5
NA,71.5,-66.5,1658.5
NA,72.5,-66.5,1250.75
NA,73.5,-66.5,1769.5
NA,74.5,-66.5,2025.75
NA,75.5,-66.5,2488.75
NA,76.5,-66.5,2537
NA,77.5,-66.5,1900
NA,78.5,-66.5,954.7498169
NA,79.5,-66.5,294.5
NA,80.5,-66.5,434.0000916
NA,81.5,-66.5,469.5000305
NA,82.5,-66.5,358.4999695
NA,83.5,-66.5,531.25
NA,84.5,-66.5,239
NA,85.5,-66.5,65
NA,86.5,-66.5,121
NA,87.5,-66.5,438.500061
NA,88.5,-66.5,465
NA,89.5,-66.5,265.4999084
NA,90.5,-66.5,440.75
NA,91.5,-66.5,89.00001526
NA,92.5,-66.5,380.75
NA,93.5,-66.5,161.7499847
NA,94.5,-66.5,134.250061
NA,95.5,-66.5,162.25
NA,96.5,-66.5,195.0000153
NA,97.5,-66.5,293.25
NA,98.5,-66.5,92.24992371
NA,99.5,-66.5,230.5000305
NA,100.5,-66.5,195.5000305
NA,101.5,-66.5,0
NA,102.5,-66.5,0
NA,103.5,-66.5,0
NA,104.5,-66.5,0
NA,105.5,-66.5,0
NA,106.5,-66.5,0
NA,107.5,-66.5,59.50006104
NA,108.5,-66.5,504.749939
NA,109.5,-66.5,319.75
NA,110.5,-66.5,53.25009918
NA,111.5,-66.5,0
NA,112.5,-66.5,0
NA,113.5,-66.5,0
NA,114.5,-66.5,0
NA,115.5,-66.5,32.99996567
NA,116.5,-66.5,93.24999237
NA,117.5,-66.5,367.2500305
NA,118.5,-66.5,623.25
NA,119.5,-66.5,527.25
NA,120.5,-66.5,426.25
NA,121.5,-66.5,161
NA,122.5,-66.5,573.999939
NA,123.5,-66.5,499.2500305
NA,124.5,-66.5,205
NA,125.5,-66.5,0
NA,126.5,-66.5,244.75
NA,127.5,-66.5,391.75
NA,128.5,-66.5,1083.25
NA,129.5,-66.5,415.5000305
NA,130.5,-66.5,490.2500305
NA,131.5,-66.5,388
NA,132.5,-66.5,58.00004196
NA,133.5,-66.5,145.9999695
NA,134.5,-66.5,324.500061
NA,135.5,-66.5,0
NA,136.5,-66.5,17.74992943
NA,137.5,-66.5,0
NA,138.5,-66.5,130.9999695
NA,139.5,-66.5,305.0000305
NA,140.5,-66.5,401.7500305
NA,141.5,-66.5,83.50009155
NA,142.5,-66.5,541.75
NA,143.5,-66.5,775.25
NA,144.5,-66.5,616.25
NA,145.5,-66.5,632.249939
NA,146.5,-66.5,214.7500305
NA,147.5,-66.5,529.750061
NA,148.5,-66.5,287.9999695
NA,20.5,-65.5,4690
1,21.5,-65.5,4798.75
1,22.5,-65.5,4638
1,23.5,-65.5,4726
1,24.5,-65.5,4815
1,25.5,-65.5,4805.75
1,26.5,-65.5,4821.5
1,27.5,-65.5,4854.75
1,28.5,-65.5,4943.5
1,29.5,-65.5,4823.25
1,30.5,-65.5,4850.25
1,31.5,-65.5,4615.25
1,32.5,-65.5,3851
1,33.5,-65.5,3425
1,34.5,-65.5,2440.499756
1,35.5,-65.5,4567.75
1,36.5,-65.5,4819.75
1,37.5,-65.5,4865.5
1,38.5,-65.5,4740.25
1,39.5,-65.5,4557.5
1,40.5,-65.5,4722.75
1,41.5,-65.5,4584.75
1,42.5,-65.5,4171.75
1,43.5,-65.5,3906.25
1,44.5,-65.5,3767.25
1,45.5,-65.5,3236.25
1,46.5,-65.5,3008
1,47.5,-65.5,2574
1,48.5,-65.5,1609.5
1,49.5,-65.5,2301.75
1,50.5,-65.5,2394.5
1,51.5,-65.5,2090.25
1,52.5,-65.5,1989.75
1,53.5,-65.5,228.2499695
1,54.5,-65.5,246.2497711
1,55.5,-65.5,2350.5
1,56.5,-65.5,2476.750244
1,57.5,-65.5,3007
1,58.5,-65.5,3532
1,59.5,-65.5,3510.25
1,60.5,-65.5,3753.25
1,61.5,-65.5,3876.75
1,62.5,-65.5,3892
1,63.5,-65.5,3358.25
1,64.5,-65.5,2846.75
1,65.5,-65.5,2761.5
1,66.5,-65.5,3253.75
1,67.5,-65.5,2998.25
1,68.5,-65.5,2683.25
1,69.5,-65.5,2417.5
1,70.5,-65.5,2837.75
1,71.5,-65.5,2965.25
1,72.5,-65.5,2860.75
1,73.5,-65.5,3009.5
1,74.5,-65.5,2919.25
1,75.5,-65.5,3285
1,76.5,-65.5,3381.5
1,77.5,-65.5,3258.75
1,78.5,-65.5,3284.25
1,79.5,-65.5,3423.75
1,80.5,-65.5,2942.5
1,81.5,-65.5,1701.749878
1,82.5,-65.5,2657.499756
1,83.5,-65.5,2555
1,84.5,-65.5,2672.5
1,85.5,-65.5,2922.25
1,86.5,-65.5,2337
1,87.5,-65.5,2995.25
1,88.5,-65.5,3004.75
1,89.5,-65.5,2896
1,90.5,-65.5,1660.500122
1,91.5,-65.5,272.2499695
1,92.5,-65.5,482.249939
1,93.5,-65.5,350.4998169
1,94.5,-65.5,742.750061
1,95.5,-65.5,51.75000381
1,96.5,-65.5,53.75001144
1,97.5,-65.5,98.75
1,98.5,-65.5,405.7499084
NA,99.5,-65.5,230.5
NA,100.5,-65.5,0
NA,101.5,-65.5,298.7499084
NA,102.5,-65.5,1141.000122
NA,103.5,-65.5,1.750012398
NA,104.5,-65.5,346.25
NA,105.5,-65.5,220.5001068
NA,106.5,-65.5,714.250061
NA,107.5,-65.5,760.5
NA,108.5,-65.5,635.75
NA,109.5,-65.5,450.75
NA,110.5,-65.5,285.4999084
NA,111.5,-65.5,291.5000305
NA,112.5,-65.5,218.499939
NA,113.5,-65.5,844.7498779
NA,114.5,-65.5,334.000061
NA,115.5,-65.5,457.2499695
NA,116.5,-65.5,56.24998856
NA,117.5,-65.5,599
NA,118.5,-65.5,570
NA,119.5,-65.5,403.4999695
NA,120.5,-65.5,1644.249756
NA,121.5,-65.5,1701.249878
NA,122.5,-65.5,1410.5
NA,123.5,-65.5,1513.5
NA,124.5,-65.5,1499.500122
NA,125.5,-65.5,580.5
NA,126.5,-65.5,524.999939
NA,127.5,-65.5,712
NA,128.5,-65.5,538.249939
NA,129.5,-65.5,209.9999084
NA,130.5,-65.5,998.250061
NA,131.5,-65.5,522.2501221
NA,132.5,-65.5,513.9998779
NA,133.5,-65.5,409.250061
NA,134.5,-65.5,52.49998474
NA,135.5,-65.5,328.2499695
NA,136.5,-65.5,208.7500153
NA,137.5,-65.5,426.7499695
NA,138.5,-65.5,443.7500305
NA,139.5,-65.5,854.2496338
NA,140.5,-65.5,1236.75
NA,141.5,-65.5,1419
NA,142.5,-65.5,2183
NA,143.5,-65.5,2437.25
NA,144.5,-65.5,2794
NA,145.5,-65.5,3085.75
NA,146.5,-65.5,2594.5
NA,147.5,-65.5,3011.75
NA,148.5,-65.5,2582.75
NA,20.5,-64.5,4975.75
1,21.5,-64.5,4898
1,22.5,-64.5,4881.75
1,23.5,-64.5,4833.5
1,24.5,-64.5,4912
1,25.5,-64.5,4966
1,26.5,-64.5,5045.5
1,27.5,-64.5,5051.5
1,28.5,-64.5,5092
1,29.5,-64.5,5057
1,30.5,-64.5,5023.25
1,31.5,-64.5,4736.5
1,32.5,-64.5,4648.75
1,33.5,-64.5,3923
1,34.5,-64.5,4927.75
1,35.5,-64.5,4937.75
1,36.5,-64.5,4961.75
1,37.5,-64.5,4872.25
1,38.5,-64.5,4900.25
1,39.5,-64.5,4790
1,40.5,-64.5,4549.75
1,41.5,-64.5,4220.25
1,42.5,-64.5,4661.75
1,43.5,-64.5,4539.75
1,44.5,-64.5,4160.5
1,45.5,-64.5,3954.25
1,46.5,-64.5,3967.75
1,47.5,-64.5,2897
1,48.5,-64.5,3971
1,49.5,-64.5,3513.75
1,50.5,-64.5,3535.25
1,51.5,-64.5,2891.5
1,52.5,-64.5,3955.999756
1,53.5,-64.5,3441.5
1,54.5,-64.5,3883
1,55.5,-64.5,4031.5
1,56.5,-64.5,4063
1,57.5,-64.5,3988
1,58.5,-64.5,3978
1,59.5,-64.5,4093.5
1,60.5,-64.5,4234.5
1,61.5,-64.5,3932
1,62.5,-64.5,3597.75
1,63.5,-64.5,3705.5
1,64.5,-64.5,3905.5
1,65.5,-64.5,3775.75
1,66.5,-64.5,3497
1,67.5,-64.5,3374
1,68.5,-64.5,3190
1,69.5,-64.5,3131
1,70.5,-64.5,3295
1,71.5,-64.5,3312
1,72.5,-64.5,3538.75
1,73.5,-64.5,3616.75
1,74.5,-64.5,3455
1,75.5,-64.5,3430.75
1,76.5,-64.5,3478
1,77.5,-64.5,3560.75
1,78.5,-64.5,3589.75
1,79.5,-64.5,3585
1,80.5,-64.5,3541
1,81.5,-64.5,3579.75
1,82.5,-64.5,3538.75
1,83.5,-64.5,3517.75
1,84.5,-64.5,3570.75
1,85.5,-64.5,3523
1,86.5,-64.5,3507.75
1,87.5,-64.5,3387
1,88.5,-64.5,3672
1,89.5,-64.5,3721
1,90.5,-64.5,3460.5
1,91.5,-64.5,3000
1,92.5,-64.5,2977.75
1,93.5,-64.5,2731.5
1,94.5,-64.5,2115.75
1,95.5,-64.5,410.0000916
1,96.5,-64.5,155.9999542
1,97.5,-64.5,182.2500153
1,98.5,-64.5,225.9999847
1,99.5,-64.5,626.5
1,100.5,-64.5,12.99999905
1,101.5,-64.5,436.4997864
1,102.5,-64.5,1551.75
1,103.5,-64.5,822.250061
1,104.5,-64.5,2072.749512
1,105.5,-64.5,2005.250122
1,106.5,-64.5,2619.25
1,107.5,-64.5,3216.75
1,108.5,-64.5,2988.75
1,109.5,-64.5,3146
1,110.5,-64.5,2721.25
1,111.5,-64.5,2764.75
1,112.5,-64.5,2291.75
1,113.5,-64.5,2396.999756
1,114.5,-64.5,1861
1,115.5,-64.5,2116
1,116.5,-64.5,2107.25
1,117.5,-64.5,2673.75
1,118.5,-64.5,3148
1,119.5,-64.5,3184.5
1,120.5,-64.5,3355.75
1,121.5,-64.5,2983.5
1,122.5,-64.5,2621.5
1,123.5,-64.5,2914.25
1,124.5,-64.5,2499.25
1,125.5,-64.5,3353.25
1,126.5,-64.5,2920.25
NA,127.5,-64.5,2969.75
NA,128.5,-64.5,2388.75
NA,129.5,-64.5,2420
NA,130.5,-64.5,1546.75
NA,131.5,-64.5,2230.75
NA,132.5,-64.5,1709.999878
NA,133.5,-64.5,2093.75
NA,134.5,-64.5,2349
NA,135.5,-64.5,2692.5
NA,136.5,-64.5,2603.499756
NA,137.5,-64.5,2942
NA,138.5,-64.5,3018.25
NA,139.5,-64.5,3289
NA,140.5,-64.5,3378.5
NA,141.5,-64.5,3413.25
NA,142.5,-64.5,3552.25
NA,143.5,-64.5,3508
NA,144.5,-64.5,3411
NA,145.5,-64.5,3638.5
NA,146.5,-64.5,3518.25
NA,147.5,-64.5,3807
NA,148.5,-64.5,3558.5
NA,20.5,-63.5,4914.75
NA,21.5,-63.5,5026
1,22.5,-63.5,4962.75
1,23.5,-63.5,5005.75
1,24.5,-63.5,4975.5
1,25.5,-63.5,5057.75
1,26.5,-63.5,5092
1,27.5,-63.5,5135
1,28.5,-63.5,5122
1,29.5,-63.5,5096
1,30.5,-63.5,5123.75
1,31.5,-63.5,5087.5
1,32.5,-63.5,5044.75
1,33.5,-63.5,5069
1,34.5,-63.5,5139
1,35.5,-63.5,5045.75
1,36.5,-63.5,5098
1,37.5,-63.5,5036.25
1,38.5,-63.5,4997
1,39.5,-63.5,5003.5
1,40.5,-63.5,4866.5
1,41.5,-63.5,4798
1,42.5,-63.5,4829.75
1,43.5,-63.5,4881
1,44.5,-63.5,4760.25
1,45.5,-63.5,4460.5
1,46.5,-63.5,4315.25
1,47.5,-63.5,4579.25
1,48.5,-63.5,4765.25
1,49.5,-63.5,4752
1,50.5,-63.5,4723.25
1,51.5,-63.5,4780.5
1,52.5,-63.5,4616.5
1,53.5,-63.5,4645.25
1,54.5,-63.5,4691.5
1,55.5,-63.5,4843
1,56.5,-63.5,4760.25
1,57.5,-63.5,4667.75
1,58.5,-63.5,4521.5
1,59.5,-63.5,4298.5
1,60.5,-63.5,4381.5
1,61.5,-63.5,4451.25
1,62.5,-63.5,4152.75
1,63.5,-63.5,4072
1,64.5,-63.5,4198.75
1,65.5,-63.5,4053
1,66.5,-63.5,3984.25
1,67.5,-63.5,3833.25
1,68.5,-63.5,3756.25
1,69.5,-63.5,3729.5
1,70.5,-63.5,3746.75
1,71.5,-63.5,3771
1,72.5,-63.5,3808
1,73.5,-63.5,3816.25
1,74.5,-63.5,3784
1,75.5,-63.5,3697
1,76.5,-63.5,3694
1,77.5,-63.5,3705.75
1,78.5,-63.5,3663.75
1,79.5,-63.5,3904.25
1,80.5,-63.5,3033.25
1,81.5,-63.5,3469.5
1,82.5,-63.5,2689.25
1,83.5,-63.5,2936.25
1,84.5,-63.5,3567
1,85.5,-63.5,3697
1,86.5,-63.5,3766.25
1,87.5,-63.5,3763
1,88.5,-63.5,3710.25
1,89.5,-63.5,3826.75
1,90.5,-63.5,3790.25
1,91.5,-63.5,3681
1,92.5,-63.5,3673.25
1,93.5,-63.5,3152.5
