TARGET_FID,richness,depth,x,y
-6460,2,1638.749756,129.5,27.5
-6460,2,1638.749756,129.5,27.5
-6459,1,1006,128.5,27.5
-6458,1,724.9998779,127.5,27.5
-6457,1,1488.5,126.5,27.5
-6456,3,112,125.5,27.5
-6456,3,112,125.5,27.5
-6456,3,112,125.5,27.5
-6446,1,5455,177.5,26.5
-6445,4,4912.748535,176.5,26.5
-6445,4,4912.748535,176.5,26.5
-6445,4,4912.748535,176.5,26.5
-6445,4,4912.748535,176.5,26.5
-6444,1,5732.75,175.5,26.5
-6414,1,5256.75,145.5,26.5
-6413,1,2984.749756,144.5,26.5
-6412,1,4870.5,143.5,26.5
-6411,4,1759.250122,142.5,26.5
-6411,4,1759.250122,142.5,26.5
-6411,4,1759.250122,142.5,26.5
-6411,4,1759.250122,142.5,26.5
-6410,1,3541,141.5,26.5
-6397,2,1276.749878,128.5,26.5
-6397,2,1276.749878,128.5,26.5
-6396,1,506.5002747,127.5,26.5
-6395,1,1757.499878,126.5,26.5
-6394,1,149.25,124.5,26.5
-6381,1,5763.749512,174.5,25.5
-6358,1,4944.249512,151.5,25.5
-6356,1,3100.748291,149.5,25.5
-6355,1,4704.749512,148.5,25.5
-6351,1,4401,144.5,25.5
-6350,2,2100.500488,143.5,25.5
-6350,2,2100.500488,143.5,25.5
-6349,2,2209.75,142.5,25.5
-6349,2,2209.75,142.5,25.5
-6348,2,2745.749756,141.5,25.5
-6348,2,2745.749756,141.5,25.5
-6347,1,2814,140.5,25.5
-6333,2,376.749939,126.5,25.5
-6333,2,376.749939,126.5,25.5
-6322,1,5771.75,177.5,24.5
-6319,1,5634,174.5,24.5
-6299,3,2638.249268,154.5,24.5
-6299,3,2638.249268,154.5,24.5
-6299,3,2638.249268,154.5,24.5
-6297,1,4961.250488,152.5,24.5
-6289,1,4802.5,144.5,24.5
-6287,1,2825.249756,142.5,24.5
-6286,4,1589.748901,141.5,24.5
-6286,4,1589.748901,141.5,24.5
-6286,4,1589.748901,141.5,24.5
-6286,4,1589.748901,141.5,24.5
-6285,1,2888.500488,140.5,24.5
-6284,1,4736.5,139.5,24.5
-6260,1,5635.75,177.5,23.5
-6259,1,5572.5,176.5,23.5
-6258,4,3988.999023,175.5,23.5
-6258,4,3988.999023,175.5,23.5
-6258,4,3988.999023,175.5,23.5
-6258,4,3988.999023,175.5,23.5
-6257,1,5576.500488,174.5,23.5
-6256,1,5644.75,173.5,23.5
-6245,3,4836,162.5,23.5
-6245,3,4836,162.5,23.5
-6245,3,4836,162.5,23.5
-6244,1,5285.5,161.5,23.5
-6242,3,4755.25,159.5,23.5
-6242,3,4755.25,159.5,23.5
-6242,3,4755.25,159.5,23.5
-6240,2,4049.000244,157.5,23.5
-6240,2,4049.000244,157.5,23.5
-6236,1,4955.75,153.5,23.5
-6235,1,5211.25,152.5,23.5
-6231,1,3737.251465,148.5,23.5
-6226,1,5043,143.5,23.5
-6225,1,3138.5,142.5,23.5
-6224,5,1191.500122,141.5,23.5
-6224,5,1191.500122,141.5,23.5
-6224,5,1191.500122,141.5,23.5
-6224,5,1191.500122,141.5,23.5
-6224,5,1191.500122,141.5,23.5
-6223,1,4071.25,140.5,23.5
-6222,1,4459.25,139.5,23.5
-6198,1,5413.75,177.5,22.5
-6197,4,4742.5,176.5,22.5
-6197,4,4742.5,176.5,22.5
-6197,4,4742.5,176.5,22.5
-6197,4,4742.5,176.5,22.5
-6196,4,3731.499756,175.5,22.5
-6196,4,3731.499756,175.5,22.5
-6196,4,3731.499756,175.5,22.5
-6196,4,3731.499756,175.5,22.5
-6195,2,5136.75,174.5,22.5
-6195,2,5136.75,174.5,22.5
-6194,1,5479.749512,173.5,22.5
-6193,1,5577.75,172.5,22.5
-6192,1,5689.75,171.5,22.5
-6183,1,5196.25,162.5,22.5
-6182,3,3093.498535,161.5,22.5
-6182,3,3093.498535,161.5,22.5
-6182,3,3093.498535,161.5,22.5
-6180,2,4967.5,159.5,22.5
-6180,2,4967.5,159.5,22.5
-6175,2,3664.749512,154.5,22.5
-6175,2,3664.749512,154.5,22.5
-6169,1,3043.750244,148.5,22.5
-6165,1,3958.500488,144.5,22.5
-6164,1,3575.999756,143.5,22.5
-6163,2,2700.500732,142.5,22.5
-6163,2,2700.500732,142.5,22.5
-6162,1,3467.500488,141.5,22.5
-6161,1,4187.000488,140.5,22.5
-6160,1,4613.750488,139.5,22.5
-6159,1,4121.25,138.5,22.5
-6140,1,3122.25,178.5,21.5
-6139,1,3122.25,178.5,21.5
-6136,4,3023.249756,177.5,21.5
-6136,4,3023.249756,177.5,21.5
-6136,4,3023.249756,177.5,21.5
-6136,4,3023.249756,177.5,21.5
-6135,4,2807.749756,176.5,21.5
-6135,4,2807.749756,176.5,21.5
-6135,4,2807.749756,176.5,21.5
-6135,4,2807.749756,176.5,21.5
-6134,4,3599.5,175.5,21.5
-6134,4,3599.5,175.5,21.5
-6134,4,3599.5,175.5,21.5
-6134,4,3599.5,175.5,21.5
-6133,4,2577.250244,174.5,21.5
-6133,4,2577.250244,174.5,21.5
-6133,4,2577.250244,174.5,21.5
-6133,4,2577.250244,174.5,21.5
-6132,3,5186,173.5,21.5
-6132,3,5186,173.5,21.5
-6132,3,2577.250244,174.5,21.5
-6131,1,5414.5,172.5,21.5
-6130,1,5632.5,171.5,21.5
-6129,1,5647.75,170.5,21.5
-6122,2,5008.25,163.5,21.5
-6122,2,5008.25,163.5,21.5
-6121,1,5228.25,162.5,21.5
-6120,2,5082.25,161.5,21.5
-6120,2,5082.25,161.5,21.5
-6119,3,4500.250488,160.5,21.5
-6119,3,4500.250488,160.5,21.5
-6119,3,4500.250488,160.5,21.5
-6118,5,1375.750244,159.5,21.5
-6118,5,1375.750244,159.5,21.5
-6118,5,1375.750244,159.5,21.5
-6118,5,1375.750244,159.5,21.5
-6118,5,1375.750244,159.5,21.5
-6117,4,4893.5,158.5,21.5
-6117,4,1375.750244,159.5,21.5
-6117,4,4893.5,158.5,21.5
-6117,4,4893.5,158.5,21.5
-6115,3,4822.75,156.5,21.5
-6115,3,4822.75,156.5,21.5
-6115,3,4822.75,156.5,21.5
-6113,1,5087.750488,154.5,21.5
-6107,1,5144,148.5,21.5
-6106,1,4810.5,147.5,21.5
-6104,1,4262.25,145.5,21.5
-6103,3,1925,144.5,21.5
-6103,3,1925,144.5,21.5
-6103,3,1925,144.5,21.5
-6102,1,3241.000244,143.5,21.5
-6101,1,3436.25,142.5,21.5
-6100,1,4041.75,141.5,21.5
-6099,1,4499,140.5,21.5
-6098,1,4903.5,139.5,21.5
-6097,1,5043.75,138.5,21.5
-6096,1,4533.000488,137.5,21.5
-6087,1,1954.999268,128.5,21.5
-6078,1,4628.5,178.5,20.5
-6077,1,4628.5,178.5,20.5
-6074,4,4442.25,177.5,20.5
-6074,4,4442.25,177.5,20.5
-6074,4,4442.25,177.5,20.5
-6074,4,4442.25,177.5,20.5
-6073,4,3273.5,176.5,20.5
-6073,4,3273.5,176.5,20.5
-6073,4,3273.5,176.5,20.5
-6073,4,3273.5,176.5,20.5
-6072,4,4027.5,175.5,20.5
-6072,4,4027.5,175.5,20.5
-6072,4,4027.5,175.5,20.5
-6072,4,4027.5,175.5,20.5
-6071,4,4031,174.5,20.5
-6071,4,4031,174.5,20.5
-6071,4,4031,174.5,20.5
-6071,4,4031,174.5,20.5
-6070,4,3742.499756,173.5,20.5
-6070,4,3742.499756,173.5,20.5
-6070,4,3742.499756,173.5,20.5
-6070,4,3742.499756,173.5,20.5
-6069,1,5519.75,172.5,20.5
-6068,1,5535.25,171.5,20.5
-6067,1,5655,170.5,20.5
-6062,1,5294.5,165.5,20.5
-6060,3,4426.5,163.5,20.5
-6060,3,4426.5,163.5,20.5
-6060,3,4426.5,163.5,20.5
-6059,1,5127.25,162.5,20.5
-6058,2,5080.75,161.5,20.5
-6058,2,5080.75,161.5,20.5
-6057,3,4478.75,160.5,20.5
-6057,3,4478.75,160.5,20.5
-6057,3,4478.75,160.5,20.5
-6055,1,5233.5,158.5,20.5
-6053,4,2641.248779,156.5,20.5
-6053,4,2641.248779,156.5,20.5
-6053,4,2641.248779,156.5,20.5
-6053,4,2641.248779,156.5,20.5
-6047,1,4982,150.5,20.5
-6046,2,3947.250244,149.5,20.5
-6046,2,3947.250244,149.5,20.5
-6045,2,4893,148.5,20.5
-6045,2,4893,148.5,20.5
-6044,1,3444.25,147.5,20.5
-6043,2,2481.999023,146.5,20.5
-6043,2,2481.999023,146.5,20.5
-6042,2,2319.499756,145.5,20.5
-6042,2,2319.499756,145.5,20.5
-6041,1,3262.750488,144.5,20.5
-6040,1,4078.499756,143.5,20.5
-6039,3,1857.25,142.5,20.5
-6039,3,1857.25,142.5,20.5
-6039,3,1857.25,142.5,20.5
-6038,1,4420.25,141.5,20.5
-6037,1,4710.25,140.5,20.5
-6035,1,4377.999512,138.5,20.5
-6034,1,4754.25,137.5,20.5
-6015,1,4740,178.5,19.5
-6014,1,4740,178.5,19.5
-6012,4,4268.250488,177.5,19.5
-6012,4,4268.250488,177.5,19.5
-6012,4,4268.250488,177.5,19.5
-6012,4,4268.250488,177.5,19.5
-6011,4,3141.999756,176.5,19.5
-6011,4,3141.999756,176.5,19.5
-6011,4,3141.999756,176.5,19.5
-6011,4,3141.999756,176.5,19.5
-6010,4,3840.5,175.5,19.5
-6010,4,3840.5,175.5,19.5
-6010,4,3840.5,175.5,19.5
-6010,4,3840.5,175.5,19.5
-6009,4,4177.5,174.5,19.5
-6009,4,4177.5,174.5,19.5
-6009,4,4177.5,174.5,19.5
-6009,4,4177.5,174.5,19.5
-6008,3,4274,173.5,19.5
-6008,3,4274,173.5,19.5
-6008,3,4274,173.5,19.5
-6007,5,4691.750488,172.5,19.5
-6007,5,4691.750488,172.5,19.5
-6007,5,4691.750488,172.5,19.5
-6007,5,4691.750488,172.5,19.5
-6007,5,4274,173.5,19.5
-6006,3,5021.500488,171.5,19.5
-6006,3,5021.500488,171.5,19.5
-6006,3,5021.500488,171.5,19.5
-6005,4,4808.749023,170.5,19.5
-6005,4,4808.749023,170.5,19.5
-6005,4,4808.749023,170.5,19.5
-6005,4,4808.749023,170.5,19.5
-6004,1,5388.5,169.5,19.5
-6003,1,5293.25,168.5,19.5
-6002,5,2250.749268,167.5,19.5
-6002,5,2250.749268,167.5,19.5
-6002,5,2250.749268,167.5,19.5
-6002,5,2250.749268,167.5,19.5
-6002,5,2250.749268,167.5,19.5
-6001,3,3994.250244,166.5,19.5
-6001,3,3994.250244,166.5,19.5
-6001,3,3994.250244,166.5,19.5
-5999,1,5136.500488,164.5,19.5
-5998,1,5126.5,163.5,19.5
-5997,3,4086.999268,162.5,19.5
-5997,3,4086.999268,162.5,19.5
-5997,3,4086.999268,162.5,19.5
-5996,1,5143.5,161.5,19.5
-5995,4,2737.249023,160.5,19.5
-5995,4,2737.249023,160.5,19.5
-5995,4,2737.249023,160.5,19.5
-5995,4,2737.249023,160.5,19.5
-5994,3,4042.749512,159.5,19.5
-5994,3,4042.749512,159.5,19.5
-5994,3,4042.749512,159.5,19.5
-5992,1,5283.250488,157.5,19.5
-5988,3,2887.999512,153.5,19.5
-5988,3,2887.999512,153.5,19.5
-5988,3,2887.999512,153.5,19.5
-5987,2,4899.5,152.5,19.5
-5987,2,4899.5,152.5,19.5
-5986,2,4530.750488,151.5,19.5
-5986,2,4530.750488,151.5,19.5
-5985,2,3439.751465,150.5,19.5
-5985,2,3439.751465,150.5,19.5
-5981,1,4187.249512,146.5,19.5
-5980,4,1636.499023,145.5,19.5
-5980,4,1636.499023,145.5,19.5
-5980,4,1636.499023,145.5,19.5
-5980,4,1636.499023,145.5,19.5
