"","target_fid","rich_1d_geog","x.x","y.x","depth.x","rich_2d","x.y","y.y","depth.y"
"143",531,1,35.5,-64.5,4937.75,1,35.5,-64.5,4937.75
"144",532,1,36.5,-64.5,4961.75,1,36.5,-64.5,4961.75
"145",533,1,37.5,-64.5,4872.25,1,37.5,-64.5,4872.25
"146",534,1,38.5,-64.5,4900.25,1,38.5,-64.5,4900.25
"147",535,1,39.5,-64.5,4790,1,39.5,-64.5,4790
"148",536,1,40.5,-64.5,4549.75,1,40.5,-64.5,4549.75
"149",537,1,41.5,-64.5,4220.25,1,41.5,-64.5,4220.25
"150",538,1,42.5,-64.5,4661.75,1,42.5,-64.5,4661.75
"151",539,1,43.5,-64.5,4539.75,1,43.5,-64.5,4539.75
"152",540,1,44.5,-64.5,4160.5,1,44.5,-64.5,4160.5
"153",541,1,45.5,-64.5,3954.25,1,45.5,-64.5,3954.25
"154",542,1,46.5,-64.5,3967.75,1,46.5,-64.5,3967.75
"155",543,1,47.5,-64.5,2897,1,47.5,-64.5,2897
"156",544,1,48.5,-64.5,3971,1,48.5,-64.5,3971
"157",545,1,49.5,-64.5,3513.75,1,49.5,-64.5,3513.75
"158",546,1,50.5,-64.5,3535.25,1,50.5,-64.5,3535.25
"159",547,1,51.5,-64.5,2891.5,1,51.5,-64.5,2891.5
"160",548,1,52.5,-64.5,3955.99975586,1,52.5,-64.5,3955.99975586
"161",549,1,53.5,-64.5,3441.5,1,53.5,-64.5,3441.5
"162",550,1,54.5,-64.5,3883,1,54.5,-64.5,3883
"163",551,1,55.5,-64.5,4031.5,1,55.5,-64.5,4031.5
"164",552,1,56.5,-64.5,4063,1,56.5,-64.5,4063
"165",553,1,57.5,-64.5,3988,1,57.5,-64.5,3988
"166",554,1,58.5,-64.5,3978,1,58.5,-64.5,3978
"167",555,1,59.5,-64.5,4093.5,1,59.5,-64.5,4093.5
"168",556,1,60.5,-64.5,4234.5,1,60.5,-64.5,4234.5
"169",557,1,61.5,-64.5,3932,1,61.5,-64.5,3932
"170",558,1,62.5,-64.5,3597.75,1,62.5,-64.5,3597.75
"171",559,1,63.5,-64.5,3705.5,1,63.5,-64.5,3705.5
"172",560,1,64.5,-64.5,3905.5,1,64.5,-64.5,3905.5
"173",561,1,65.5,-64.5,3775.75,1,65.5,-64.5,3775.75
"174",562,1,66.5,-64.5,3497,1,66.5,-64.5,3497
"175",563,1,67.5,-64.5,3374,1,67.5,-64.5,3374
"176",564,1,68.5,-64.5,3190,1,68.5,-64.5,3190
"177",565,1,69.5,-64.5,3131,1,69.5,-64.5,3131
"178",566,1,70.5,-64.5,3295,1,70.5,-64.5,3295
"179",567,1,71.5,-64.5,3312,1,71.5,-64.5,3312
"180",568,1,72.5,-64.5,3538.75,1,72.5,-64.5,3538.75
"181",569,1,73.5,-64.5,3616.75,1,73.5,-64.5,3616.75
"182",570,1,74.5,-64.5,3455,1,74.5,-64.5,3455
"183",571,1,75.5,-64.5,3430.75,1,75.5,-64.5,3430.75
"184",572,1,76.5,-64.5,3478,1,76.5,-64.5,3478
"185",573,1,77.5,-64.5,3560.75,1,77.5,-64.5,3560.75
"186",574,1,78.5,-64.5,3589.75,1,78.5,-64.5,3589.75
"187",575,1,79.5,-64.5,3585,1,79.5,-64.5,3585
"188",576,1,80.5,-64.5,3541,1,80.5,-64.5,3541
"189",577,1,81.5,-64.5,3579.75,1,81.5,-64.5,3579.75
