"","depth","richness","x_exact","y_exact","y_exact_abs","ocean"
"8583",2998,0,-65.5,-63.5,63.5,"atlantic"
"8584",2998,0,-56.5,60.5,60.5,"atlantic"
"8585",2996,0,-2.5,64.5,64.5,"atlantic"
"8586",2994,0,-43.5,-71.5,71.5,"atlantic"
"8587",2987,0,-23.5,58.5,58.5,"atlantic"
"8588",2984,0,-38.5,57.5,57.5,"atlantic"
"8589",2977,0,-9.5,-69.5,69.5,"atlantic"
"8590",2965,0,-39.5,56.5,56.5,"atlantic"
"8591",2964,0,-22.5,58.5,58.5,"atlantic"
"8592",2963,0,-94.5,20.5,20.5,"atlantic"
"8593",2957,0,-47.5,58.5,58.5,"atlantic"
"8594",2955,0,14.5,39.5,39.5,"atlantic"
"8595",2950,0,-12.5,54.5,54.5,"atlantic"
"8596",2950,0,-53.5,61.5,61.5,"atlantic"
"8597",2947,0,-59.5,-61.5,61.5,"atlantic"
"8598",2943,0,-22.5,57.5,57.5,"atlantic"
"8599",2936,0,-36.5,60.5,60.5,"atlantic"
"8600",2934,0,-55.5,56.5,56.5,"atlantic"
"8601",2933,0,-37.5,60.5,60.5,"atlantic"
"8602",2927,0,-32.5,62.5,62.5,"atlantic"
"8603",2925,0,19.5,38.5,38.5,"atlantic"
"8604",2922,0,-89.5,26.5,26.5,"atlantic"
"8605",2919,0,-52.5,-68.5,68.5,"atlantic"
"8606",2919,0,-23.5,56.5,56.5,"atlantic"
"8607",2917,0,-47.5,59.5,59.5,"atlantic"
"8608",2915,0,2.5,68.5,68.5,"atlantic"
"8609",2914,0,-52.5,-69.5,69.5,"atlantic"
"8610",2913,0,-51.5,-65.5,65.5,"atlantic"
"8611",2913,0,-21.5,58.5,58.5,"atlantic"
"8612",2912,0,-87.5,27.5,27.5,"atlantic"
"8613",2912,0,17.5,37.5,37.5,"atlantic"
"8614",2910,0,0.5,65.5,65.5,"atlantic"
"8615",2908,0,-87.5,26.5,26.5,"atlantic"
"8616",2908,0,-53.5,55.5,55.5,"atlantic"
"8617",2904,0,-65.5,-58.5,58.5,"atlantic"
"8618",2901,0,-38.5,55.5,55.5,"atlantic"
"8619",2898,0,-38.5,60.5,60.5,"atlantic"
"8620",2893,0,-56.5,-56.5,56.5,"atlantic"
"8621",2891,0,-51.5,-64.5,64.5,"atlantic"
"8622",2889,0,-35.5,61.5,61.5,"atlantic"
"8623",2887,0,-53.5,-69.5,69.5,"atlantic"
"8624",2886,0,-4.5,-69.5,69.5,"atlantic"
"8625",2885,0,-57.5,59.5,59.5,"atlantic"
"8626",2883,0,-20.5,58.5,58.5,"atlantic"
"8627",2882,0,-64.5,-56.5,56.5,"atlantic"
"8628",2879,0,6.5,38.5,38.5,"atlantic"
"8629",2879,0,7.5,38.5,38.5,"atlantic"
"8630",2878,0,-51.5,-70.5,70.5,"atlantic"
"8631",2878,0,-33.5,61.5,61.5,"atlantic"
"8632",2877,0,-13.5,54.5,54.5,"atlantic"
"8633",2876,0,-68.5,39.5,39.5,"atlantic"
"8634",2873,0,-33.5,60.5,60.5,"atlantic"
"8635",2872,0,1.5,65.5,65.5,"atlantic"
"8636",2870,0,-6.5,-69.5,69.5,"atlantic"
"8637",2865,0,-51.5,61.5,61.5,"atlantic"
"8638",2865,0,-6.5,66.5,66.5,"atlantic"
"8639",2864,0,-33.5,62.5,62.5,"atlantic"
"8640",2863,0,-51.5,54.5,54.5,"atlantic"
"8641",2857,0,28.5,32.5,32.5,"atlantic"
"8642",2854,0,13.5,-68.5,68.5,"atlantic"
"8643",2854,0,-71.5,38.5,38.5,"atlantic"
"8644",2854,0,-12.5,55.5,55.5,"atlantic"
"8645",2849,0,-35.5,60.5,60.5,"atlantic"
"8646",2846,0,-39.5,59.5,59.5,"atlantic"
"8647",2844,0,-52.5,-66.5,66.5,"atlantic"
"8648",2842,0,-6.5,67.5,67.5,"atlantic"
"8649",2839,0,5.5,38.5,38.5,"atlantic"
"8650",2837,0,-57.5,58.5,58.5,"atlantic"
"8651",2834,0,27.5,33.5,33.5,"atlantic"
"8652",2834,0,-24.5,57.5,57.5,"atlantic"
"8653",2825,0,-51.5,-68.5,68.5,"atlantic"
"8654",2824,0,6.5,40.5,40.5,"atlantic"
"8655",2822,0,29.5,34.5,34.5,"atlantic"
"8656",2821,0,-56.5,57.5,57.5,"atlantic"
"8657",2819,0,-24.5,58.5,58.5,"atlantic"
"8658",2819,0,-49.5,60.5,60.5,"atlantic"
"8659",2818,0,-44.5,-71.5,71.5,"atlantic"
"8660",2818,0,10.5,-68.5,68.5,"atlantic"
"8661",2815,0,-2.5,-69.5,69.5,"atlantic"
"8662",2814,0,7.5,37.5,37.5,"atlantic"
"8663",2814,0,-40.5,55.5,55.5,"atlantic"
"8664",2813,0,-7.5,-69.5,69.5,"atlantic"
"8665",2813,0,22.5,34.5,34.5,"atlantic"
"8666",2811,0,-68.5,-64.5,64.5,"atlantic"
"8667",2811,0,6.5,37.5,37.5,"atlantic"
"8668",2810,0,-34.5,62.5,62.5,"atlantic"
"8669",2810,0,-1.5,64.5,64.5,"atlantic"
"8670",2807,0,-20.5,59.5,59.5,"atlantic"
"8671",2807,0,-57.5,60.5,60.5,"atlantic"
"8672",2806,0,-35.5,59.5,59.5,"atlantic"
"8673",2804,0,-21.5,59.5,59.5,"atlantic"
"8674",2802,0,2.5,37.5,37.5,"atlantic"
"8675",2799,0,-54.5,61.5,61.5,"atlantic"
"8676",2794,0,5.5,39.5,39.5,"atlantic"
"8677",2791,0,4.5,37.5,37.5,"atlantic"
"8678",2790,0,-5.5,65.5,65.5,"atlantic"
"8679",2788,0,1.5,37.5,37.5,"atlantic"
"8680",2784,0,-3.5,63.5,63.5,"atlantic"
"8681",2782,0,-47.5,50.5,50.5,"atlantic"
"8682",2779,0,3.5,37.5,37.5,"atlantic"
"8683",2778,0,-16.5,53.5,53.5,"atlantic"
"8684",2777,0,5.5,37.5,37.5,"atlantic"
"8685",2776,0,-55.5,61.5,61.5,"atlantic"
"8686",2776,0,-32.5,63.5,63.5,"atlantic"
"8687",2774,0,-90.5,26.5,26.5,"atlantic"
"8688",2774,0,-11.5,55.5,55.5,"atlantic"
"8689",2773,0,-13.5,55.5,55.5,"atlantic"
"8690",2770,0,20.5,36.5,36.5,"atlantic"
"8691",2769,0,-52.5,-70.5,70.5,"atlantic"
"8692",2767,0,-25.5,58.5,58.5,"atlantic"
"8693",2762,0,5.5,40.5,40.5,"atlantic"
"8694",2761,0,-1.5,-69.5,69.5,"atlantic"
"8695",2759,0,10.5,39.5,39.5,"atlantic"
"8696",2755,0,-36.5,61.5,61.5,"atlantic"
"8697",2754,0,2.5,65.5,65.5,"atlantic"
"8698",2753,0,-21.5,57.5,57.5,"atlantic"
"8699",2751,0,-53.5,-67.5,67.5,"atlantic"
"8700",2747,0,-56.5,61.5,61.5,"atlantic"
"8701",2746,0,7.5,42.5,42.5,"atlantic"
"8702",2744,0,25.5,32.5,32.5,"atlantic"
"8703",2744,0,1.5,68.5,68.5,"atlantic"
"8704",2743,0,0.5,37.5,37.5,"atlantic"
"8705",2743,0,7.5,41.5,41.5,"atlantic"
"8706",2735,0,-14.5,54.5,54.5,"atlantic"
"8707",2735,0,-25.5,57.5,57.5,"atlantic"
"8708",2735,0,-35.5,62.5,62.5,"atlantic"
"8709",2734,0,-72.5,38.5,38.5,"atlantic"
"8710",2730,0,-59.5,-59.5,59.5,"atlantic"
"8711",2730,0,-95.5,21.5,21.5,"atlantic"
"8712",2730,0,1.5,64.5,64.5,"atlantic"
"8713",2724,0,7.5,40.5,40.5,"atlantic"
"8714",2723,0,-13.5,50.5,50.5,"atlantic"
"8715",2718,0,14.5,-68.5,68.5,"atlantic"
"8716",2717,0,-18.5,59.5,59.5,"atlantic"
"8717",2713,0,-45.5,-71.5,71.5,"atlantic"
"8718",2712,0,-19.5,59.5,59.5,"atlantic"
"8719",2711,0,-57.5,61.5,61.5,"atlantic"
"8720",2703,0,7.5,68.5,68.5,"atlantic"
"8721",2698,0,-33.5,63.5,63.5,"atlantic"
"8722",2697,0,6.5,41.5,41.5,"atlantic"
"8723",2697,0,-31.5,63.5,63.5,"atlantic"
"8724",2696,0,9.5,68.5,68.5,"atlantic"
