"","depth","richness1d","richness2d"
"531",4368,2,1
"532",4370,2,1
"533",4371,2,1
"534",4373,2,1
"535",4374,2,1
"536",4375,2,1
"537",4380,2,1
"538",4381,2,1
"539",4385,2,2
"540",4387,2,1
"541",4390,2,1
"542",4392,2,1
"543",4393,2,1
"544",4395,2,1
"545",4396,2,1
"546",4397,2,1
"547",4402,2,1
"548",4403,2,1
"549",4405,2,1
"550",4406,2,1
"551",4407,2,2
"552",4408,2,1
"553",4409,2,1
"554",4410,2,1
"555",4412,2,1
"556",4416,2,1
"557",4418,2,1
"558",4419,2,1
"559",4422,2,1
"560",4426,2,1
"561",4427,2,1
"562",4428,2,1
"563",4431,2,1
"564",4434,2,1
"565",4435,2,2
"566",4436,2,1
"567",4437,2,1
"568",4441,2,1
"569",4443,2,1
"570",4444,2,1
"571",4446,2,1
"572",4448,2,1
"573",4449,2,1
"574",4452,2,1
"575",4456,2,1
"576",4459,2,1
"577",4460,2,1
"578",4465,2,1
"579",4469,2,1
"580",4470,2,1
"581",4472,2,1
"582",4477,2,2
"583",4479,2,1
"584",4481,2,1
"585",4482,2,1
"586",4484,2,1
"587",4485,2,1
"588",4486,2,1
"589",4489,2,1
"590",4490,2,1
"591",4491,2,1
"592",4492,2,1
"593",4493,2,1
"594",4494,2,1
"595",4496,2,1
"596",4498,2,1
"597",4500,2,1
"598",4501,2,1
"599",4503,2,1
"600",4504,2,2
"601",4505,2,1
"602",4506,2,1
"603",4507,2,1
"604",4508,2,1
"605",4509,2,1
"606",4510,2,1
"607",4511,2,1
"608",4513,2,1
"609",4514,2,1
"610",4517,2,1
"611",4518,2,1
"612",4520,2,1
"613",4521,2,1
"614",4522,2,1
"615",4524,2,1
"616",4526,2,1
"617",4527,2,1
"618",4529,2,1
"619",4531,2,1
"620",4534,2,1
"621",4538,2,1
"622",4540,2,1
"623",4544,2,1
"624",4545,2,1
"625",4547,2,1
"626",4550,2,1
"627",4552,2,1
"628",4553,2,1
"629",4556,2,1
"630",4557,2,1
"631",4563,2,2
"632",4566,2,1
"633",4567,2,2
"634",4571,2,1
"635",4572,2,1
"636",4575,2,1
"637",4576,2,1
"638",4580,2,1
"639",4581,2,1
"640",4582,2,1
"641",4584,2,1
"642",4591,2,1
"643",4593,2,1
"644",4594,2,1
"645",4596,2,1
"646",4597,2,1
"647",4599,2,1
"648",4600,2,1
"649",4604,2,1
"650",4608,2,2
"651",4609,2,1
"652",4611,2,1
"653",4613,2,1
"654",4616,2,1
"655",4617,2,1
"656",4620,2,1
"657",4624,2,1
"658",4626,2,2
"659",4627,2,1
"660",4629,2,1
"661",4630,2,1
"662",4632,2,1
"663",4634,2,1
"664",4635,2,1
"665",4638,2,1
"666",4639,2,1
"667",4640,2,1
"668",4642,2,1
"669",4643,2,1
"670",4644,2,2
"671",4645,2,2
"672",4646,2,1
"673",4647,2,1
"674",4648,2,1
"675",4650,2,1
"676",4651,2,2
"677",4653,2,1
"678",4659,2,1
"679",4660,2,1
"680",4662,2,2
"681",4664,2,1
"682",4666,2,1
"683",4672,2,1
"684",4673,2,1
"685",4674,2,1
"686",4675,2,1
"687",4676,2,1
"688",4678,2,1
"689",4679,2,1
"690",4680,2,1
"691",4683,2,1
"692",4685,2,1
"693",4686,2,1
"694",4687,2,1
"695",4690,2,1
"696",4693,2,1
"697",4694,2,1
"698",4696,2,1
"699",4697,2,1
"700",4699,2,1
"701",4700,2,2
"702",4706,2,1
"703",4707,2,1
"704",4712,2,1
"705",4713,2,1
"706",4716,2,2
"707",4719,2,1
"708",4721,2,2
"709",4723,2,1
"710",4725,2,2
"711",4726,2,1
"712",4727,2,1
"713",4733,2,1
"714",4735,2,2
"715",4736,2,1
"716",4743,2,2
"717",4744,2,1
"718",4745,2,1
"719",4747,2,2
"720",4748,2,1
"721",4749,2,1
"722",4751,2,1
"723",4752,2,1
"724",4753,2,1
"725",4756,2,1
"726",4759,2,2
"727",4761,2,1
"728",4764,2,1
"729",4765,2,1
"730",4769,2,2
"731",4774,2,2
"732",4776,2,1
"733",4781,2,1
"734",4783,2,1
"735",4784,2,1
"736",4788,2,1
"737",4790,2,1
"738",4797,2,1
"739",4798,2,1
"740",4803,2,1
"741",4804,2,2
"742",4806,2,1
"743",4814,2,1
"744",4815,2,1
"745",4821,2,1
"746",4823,2,2
"747",4826,2,1
"748",4828,2,1
"749",4834,2,2
"750",4835,2,1
"751",4837,2,1
"752",4839,2,1
"753",4841,2,1
"754",4842,2,1
"755",4843,2,1
"756",4844,2,1
"757",4845,2,1
"758",4850,2,2
"759",4860,2,1
"760",4869,2,2
"761",4871,2,2
"762",4873,2,2
"763",4874,2,1
"764",4875,2,1
"765",4878,2,1
"766",4879,2,2
"767",4881,2,2
"768",4882,2,2
"769",4883,2,1
"770",4887,2,2
"771",4888,2,1
"772",4892,2,2
"773",4896,2,1
"774",4897,2,1
"775",4898,2,1
"776",4901,2,1
"777",4906,2,1
"778",4907,2,1
"779",4909,2,1
"780",4910,2,1
"781",4912,2,1
"782",4917,2,1
"783",4919,2,1
"784",4926,2,2
"785",4928,2,1
"786",4935,2,1
"787",4937,2,1
"788",4941,2,1
"789",4949,2,1
"790",4950,2,1
"791",4956,2,2
"792",4958,2,1
"793",4961,2,1
"794",4962,2,2
"795",4966,2,1
"796",4967,2,1
